Empresa;Turno;Día de la semana;Experiencia del conductor;Formación del Paramédico;Nivel del Paramédico;Cantidad de atenciones;Distancia recorrida (Km);Velocidad máxima (Km/h);Consumo de combustible (Galones);Tiempo en Movimiento (h);Tiempo motor ON (h)
TAC;D;5;Principiante;4;I;8;78.4;82;3.1;2.8;3.08
TAD;N;4;Principiante;3;B;5;46.2;89;1.9;2.1;2.31
TAB;N;4;Experto;4;B;6;62.4;99;2.5;2.6;4.68
TAB;D;2;Intermedio;3;B;7;70.2;95;3;2.6;3.12
TAC;N;7;Principiante;2;I;8;75.6;87;2.8;2.8;3.64
TAD;N;4;Intermedio;3;I;8;84.1;93;3.2;2.9;3.48
TAP;N;1;Intermedio;2;B;7;70;92;2.6;3.5;3.85
TAP;N;2;Intermedio;1;A;9;94.5;89;4.2;3.5;5.25
TAE;D;1;Experto;2;B;7;69;101;2.7;3;4.5
TAC;N;3;Principiante;3;B;6;55;87;2.3;2.5;3.25
TAC;N;1;Principiante;4;B;6;59.8;88;2.7;2.3;3.45
TAB;N;1;Intermedio;2;B;5;46;93;1.9;2;3.4
TAP;D;4;Experto;1;I;8;78.3;102;3.3;2.7;3.78
TAD;D;5;Intermedio;4;B;5;52;90;2.4;2.6;4.16
TAE;N;2;Intermedio;4;B;5;52.8;96;2.3;2.4;2.64
TAC;D;3;Intermedio;4;B;5;50.4;93;1.9;2.4;4.08
TAC;D;7;Intermedio;2;B;7;72.5;94;3.6;2.9;3.48
TAC;N;2;Intermedio;1;B;6;60;91;3;3;5.4
TAP;D;7;Experto;4;B;7;72.8;99;3.3;2.6;2.86
TAC;D;3;Intermedio;2;I;8;78.3;90;3;2.7;3.24
TAC;N;5;Principiante;1;B;5;54;81;2.6;2.7;3.51
TAE;N;4;Intermedio;4;I;8;75.4;90;3.8;2.9;4.93
TAD;D;1;Intermedio;4;B;6;58.8;94;2.2;2.8;3.64
TAP;D;7;Principiante;1;I;7;68;80;3;3.4;3.74
TAP;N;7;Intermedio;4;B;7;68.2;93;3.5;3.1;4.03
TAB;D;3;Principiante;4;B;6;65;87;2.8;2.5;4.5
TAE;D;5;Principiante;1;I;7;66;88;2.4;3;3.6
TAP;D;4;Intermedio;4;B;6;62.1;92;2.4;2.3;2.76
TAC;D;1;Principiante;2;B;6;60;89;2.5;3;5.1
TAC;N;4;Intermedio;4;I;8;75.6;93;3.1;2.8;3.08
TAC;N;6;Intermedio;1;B;6;57.2;96;1.8;2.6;3.64
TAC;D;2;Principiante;2;I;7;72;87;3.2;3;5.1
TAC;N;1;Intermedio;4;B;6;62.1;89;2.5;2.7;4.59
TAE;N;3;Principiante;1;I;8;83.7;85;3.3;3.1;5.27
TAB;N;2;Intermedio;3;B;6;56.7;92;2.4;2.7;3.51
TAC;N;7;Experto;4;B;6;59.8;101;2.2;2.3;2.99
TAD;D;3;Intermedio;3;I;8;78.3;91;3.7;2.7;4.32
TAE;N;5;Intermedio;1;I;8;77.5;97;3.4;3.1;3.72
TAB;N;2;Experto;3;B;6;64.8;100;2.6;2.7;3.78
TAB;N;5;Intermedio;2;I;7;66.7;90;2.7;2.9;5.22
TAD;N;1;Principiante;3;A;9;89.9;85;3.5;3.1;4.03
TAB;D;5;Principiante;3;I;7;70;86;2.8;2.8;3.64
TAD;N;2;Principiante;1;I;7;67.5;85;2.4;2.7;4.59
TAB;N;1;Principiante;1;I;8;78.4;86;3.4;2.8;4.76
TAP;N;5;Intermedio;3;I;8;75;96;3.1;3;3.6
TAB;N;5;Intermedio;2;B;5;48;95;2.4;2.4;3.36
TAC;D;2;Intermedio;1;B;7;70;93;3.1;2.8;4.76
TAB;N;7;Principiante;4;I;7;72.9;83;2.9;2.7;3.51
TAE;D;3;Principiante;2;B;6;57.5;85;2.2;2.3;2.76
TAP;N;3;Principiante;2;A;9;87;85;3.5;3;5.4
TAP;D;5;Intermedio;4;B;5;46.2;95;1.4;2.2;3.08
TAP;D;6;Principiante;2;A;9;89.1;84;3.8;3.3;5.28
TAD;N;6;Intermedio;4;I;8;84;94;3.3;3;5.1
TAB;N;1;Principiante;2;I;8;78.4;83;3.4;2.8;4.2
TAD;N;1;Principiante;1;I;8;80.6;87;3.4;3.1;4.96
TAP;D;5;Principiante;4;I;7;72.9;87;3.2;2.7;4.59
TAD;N;4;Intermedio;2;B;7;72;92;2.4;3;3.9
TAP;N;1;Intermedio;4;I;8;78.3;98;3.4;2.7;4.86
TAB;N;4;Intermedio;1;B;6;65;95;3;2.6;3.38
TAE;D;7;Experto;4;B;6;61.6;100;2.9;2.8;4.48
TAE;D;3;Principiante;4;B;6;57.2;88;2.6;2.6;3.12
TAE;D;3;Principiante;3;B;5;52.8;86;2.4;2.2;3.96
TAC;N;5;Intermedio;2;B;7;72.8;91;2.6;2.8;4.2
TAC;N;1;Intermedio;2;B;6;60.9;93;2.8;2.9;4.35
TAC;N;1;Intermedio;2;B;6;60.9;93;2.5;2.9;3.48
TAP;D;6;Principiante;1;I;8;75.6;87;3.1;2.8;4.2
TAE;D;5;Intermedio;1;A;9;86.8;92;3.7;3.1;3.72
TAD;N;3;Intermedio;4;B;7;72;91;2.9;3;3.6
TAB;N;4;Intermedio;4;B;7;69.6;92;3;2.9;4.35
TAB;N;5;Principiante;1;B;6;57.2;85;2.7;2.6;3.64
TAE;N;3;Intermedio;2;B;5;50;89;2;2.5;2.75
