AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2021,3,15,BOYACA,15189,CIENEGA,233,4688,"0,0497"
2020,4,25,CUNDINAMARCA,25772,SUESCA,1313,18741,"0,0701"
2021,3,52,NARI�O,52036,ANCUYA,20,8601,"0,0023"
2021,3,68,SANTANDER,68669,SAN ANDRES,38,8691,"0,0044"
2021,1,25,CUNDINAMARCA,25040,ANOLAIMA,909,15156,"0,06"
2020,3,17,CALDAS,17380,LA DORADA,9510,74006,"0,1285"
2020,3,86,PUTUMAYO,86757,SAN MIGUEL,246,19434,"0,0127"
2021,3,15,BOYACA,15842,UMBITA,149,7605,"0,0196"
2022,1,86,PUTUMAYO,86569,PUERTO CAICEDO,120,16448,"0,0073"
2020,1,25,CUNDINAMARCA,25758,SOPO,3860,28999,"0,1331"
2021,3,91,AMAZONAS,91407,LA PEDRERA,2,3978,"0,0005"
2021,3,97,VAUPES,97666,TARAIRA,7,2534,"0,0028"
2021,2,70,SUCRE,70235,GALERAS,359,23563,"0,0152"
2020,4,15,BOYACA,15776,SUTAMARCHAN,126,6228,"0,0202"
2021,1,13,BOLIVAR,13052,ARJONA,3657,74819,"0,0489"
2022,1,68,SANTANDER,68502,ONZAGA,146,4159,"0,0351"
2021,3,25,CUNDINAMARCA,25126,CAJICA,26863,96678,"0,2779"
2021,3,91,AMAZONAS,91263,EL ENCANTO,4,2093,"0,0019"
2021,3,50,META,50686,SAN JUANITO,14,1253,"0,0112"
2020,4,15,BOYACA,15693,SANTA ROSA DE VITERBO,201,13325,"0,0151"
2022,1,91,AMAZONAS,91405,LA CHORRERA,1,3004,"0,0003"
2022,3,66,RISARALDA,66001,PEREIRA,120103,485373,"0,2474"
2020,3,54,NORTE DE SANTANDER,54405,LOS PATIOS,16531,97220,"0,17"
2020,4,15,BOYACA,15638,SACHICA,122,5677,"0,0215"
2021,3,50,META,50711,VISTAHERMOSA,64,16929,"0,0038"
2021,3,41,HUILA,41132,CAMPOALEGRE,3189,31614,"0,1009"
2020,2,25,CUNDINAMARCA,25736,SESQUILE,1466,12645,"0,1159"
2020,4,17,CALDAS,17380,LA DORADA,10730,74006,"0,145"
2021,3,15,BOYACA,15778,SUTATENZA,31,4252,"0,0073"
2021,3,15,BOYACA,15442,MARIPI,16,5723,"0,0028"
2021,3,41,HUILA,41615,RIVERA,713,25342,"0,0281"
2021,3,94,GUAINIA,94886,CACAHUAL,11,908,"0,0121"
2021,2,73,TOLIMA,73236,DOLORES,85,8208,"0,0104"
2021,3,68,SANTANDER,68377,LA BELLEZA,287,6246,"0,0459"
2021,3,50,META,50577,PUERTO LLERAS,21,10440,"0,002"
2021,3,91,AMAZONAS,91540,PUERTO NARI�O,35,10460,"0,0033"
2020,3,15,BOYACA,15776,SUTAMARCHAN,122,6228,"0,0196"
2020,1,15,BOYACA,15507,OTANCHE,327,8004,"0,0409"
2021,3,50,META,50350,LA MACARENA,778,28290,"0,0275"
2021,3,15,BOYACA,15774,SUSACON,10,2723,"0,0037"
2021,3,15,BOYACA,15401,LA VICTORIA,7,1125,"0,0062"
2020,4,15,BOYACA,15407,VILLA DE LEYVA,1636,16973,"0,0964"
2020,4,15,BOYACA,15299,GARAGOA,432,18322,"0,0236"
2021,1,15,BOYACA,15753,SOATA,786,8894,"0,0884"
2021,3,70,SUCRE,70230,CHALAN,2,4667,"0,0004"
2021,3,41,HUILA,41349,HOBO,68,7448,"0,0091"
2021,2,05,ANTIOQUIA,05400,LA UNION,2128,22742,"0,0936"
2021,2,76,VALLE DEL CAUCA,76001,CALI,543061,2264748,"0,2398"
2021,3,15,BOYACA,15690,SANTA MARIA,215,3523,"0,061"
2021,2,15,BOYACA,15299,GARAGOA,687,18455,"0,0372"
2021,1,15,BOYACA,15820,TOPAGA,106,3724,"0,0285"
2021,3,15,BOYACA,15092,BETEITIVA,22,1949,"0,0113"
2021,1,15,BOYACA,15162,CERINZA,251,3732,"0,0673"
2021,3,97,VAUPES,97511,PACOA,3,4649,"0,0006"
2020,4,54,NORTE DE SANTANDER,54405,LOS PATIOS,16363,97220,"0,1683"
2021,3,15,BOYACA,15114,BUSBANZA,102,1161,"0,0879"
2021,4,25,CUNDINAMARCA,25394,LA PALMA,486,10200,"0,0476"
2019,4,68,SANTANDER,68689,SAN VICENTE DE CHUCURI,970,33414,"0,029"
2021,3,95,GUAVIARE,95015,CALAMAR,342,10282,"0,0333"
2021,3,54,NORTE DE SANTANDER,54261,EL ZULIA,934,29800,"0,0313"
2021,2,18,CAQUETA,18479,MORELIA,163,3786,"0,0431"
2021,3,95,GUAVIARE,95025,EL RETORNO,144,14010,"0,0103"
2022,3,41,HUILA,41799,TELLO,103,11991,"0,0086"
2021,3,15,BOYACA,15476,MOTAVITA,63,5744,"0,011"
2021,3,52,NARI�O,52051,ARBOLEDA,50,8418,"0,0059"
2021,3,15,BOYACA,15244,EL COCUY,88,4144,"0,0212"
2021,3,19,CAUCA,19290,FLORENCIA,934,5346,"0,1747"
2021,3,15,BOYACA,15522,PANQUEBA,10,1709,"0,0059"
2021,3,54,NORTE DE SANTANDER,54599,RAGONVALIA,147,6426,"0,0229"
2020,3,54,NORTE DE SANTANDER,54874,VILLA DEL ROSARIO,16536,111254,"0,1486"
2022,1,15,BOYACA,15720,SATIVANORTE,15,2182,"0,0069"
2021,1,41,HUILA,41770,SUAZA,366,22920,"0,016"
2021,3,52,NARI�O,52320,GUAITARILLA,291,11322,"0,0257"
2021,3,18,CAQUETA,18150,CARTAGENA DEL CHAIRA,22,31480,"0,0007"
2021,3,99,VICHADA,99773,CUMARIBO,42,79984,"0,0005"
2021,3,50,META,50590,PUERTO RICO,44,12980,"0,0034"
2021,3,52,NARI�O,52685,SAN BERNARDO,405,9169,"0,0442"
2020,1,25,CUNDINAMARCA,25175,CHIA,39341,149570,"0,263"
2020,4,05,ANTIOQUIA,05887,YARUMAL,4139,42678,"0,097"
2021,3,15,BOYACA,15660,SAN EDUARDO,74,1672,"0,0443"
2021,3,97,VAUPES,97001,MITU,43,34307,"0,0013"
2021,3,15,BOYACA,15491,NOBSA,1552,16566,"0,0937"
2021,3,19,CAUCA,19693,SAN SEBASTIAN,17,11150,"0,0015"
2021,4,25,CUNDINAMARCA,25324,GUATAQUI,40,2882,"0,0139"
2021,3,41,HUILA,41357,IQUIRA,532,9422,"0,0565"
2021,3,52,NARI�O,52565,PROVIDENCIA,56,5552,"0,0101"
2022,1,25,CUNDINAMARCA,25181,CHOACHI,1124,12363,"0,0909"
2021,3,05,ANTIOQUIA,05647,SAN ANDRES DE CUERQUIA,589,7394,"0,0797"
2021,3,68,SANTANDER,68397,LA PAZ,26,4971,"0,0052"
2021,3,52,NARI�O,52203,COLON,236,8314,"0,0284"
2021,1,68,SANTANDER,68307,GIRON,34220,173841,"0,1968"
2021,3,94,GUAINIA,94884,PUERTO COLOMBIA,6,1995,"0,003"
2020,1,25,CUNDINAMARCA,25286,FUNZA,21557,105086,"0,2051"
2021,3,99,VICHADA,99524,LA PRIMAVERA,21,9743,"0,0022"
2020,2,25,CUNDINAMARCA,25799,TENJO,2625,24096,"0,1089"
2021,3,70,SUCRE,70110,BUENAVISTA,369,11117,"0,0332"
2020,2,25,CUNDINAMARCA,25286,FUNZA,22204,105086,"0,2113"
2021,3,95,GUAVIARE,95200,MIRAFLORES,179,7194,"0,0249"
2020,2,25,CUNDINAMARCA,25126,CAJICA,23377,92967,"0,2515"
2021,3,97,VAUPES,97889,YAVARATE,1,1153,"0,0009"
2021,1,19,CAUCA,19517,PAEZ,52,47124,"0,0011"
2021,3,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1735,57004,"0,0304"
2021,3,52,NARI�O,52019,ALBAN,316,9318,"0,0339"
2021,2,52,NARI�O,52256,EL ROSARIO,107,12059,"0,0089"
2021,3,99,VICHADA,99001,PUERTO CARRE�O,1341,20578,"0,0652"
2020,2,76,VALLE DEL CAUCA,76622,ROLDANILLO,6404,36786,"0,1741"
2020,4,54,NORTE DE SANTANDER,54313,GRAMALOTE,310,7694,"0,0403"
2020,3,15,BOYACA,15638,SACHICA,117,5677,"0,0206"
